"mention","frequency"
"garicruze",1
"garretloporto",2
"garrett_herrin",1
"garrettnbcnews",26
"garrettquinn",4
"garyfranchi",2
"gatewaypatriot",2
"gatewaypundit",14
"gauravsabnis",2
"gavinvz",1
"gemoftheocean",1
"generalrichey",1
"geoffreyvs",2
"geologiq",1
"georgetowncct",1
"georgiehalawa",1
"gerardmulligan1",3
"gerryduggan",19
"get_your_mag_on",1
"getglue",2
"getoffmybed",1
"ggitcho",1
"ggreeneva",1
"gilalbertson",1
"gingergibson",2
"gingerkiller",2
"gingrich",1
"gisellephelps",1
"gitemgirl",2
"gjcritchlow21",1
"glenallenwalken",2
"glengyron",1
"glennbeck",5
"globeglen",2
"glynnmacn",1
"goforthandc",6
"goldberg3000",2
"goldietaylor",5
"goldnfrnknstein",1
"goni_lessan",1
"good4politics",2
"goodbyedarran",1
"goodinohio",3
"goodnewsgirl",2
"goodreverend",1
"gopaulblair",1
"gopblackchick",8
"gopmatt",1
"goproud's",2
"gopsaywhat",1
"gopwing",3
"goslow53",1
"gotchamedia",1
"gottahrdt",3
"gottalaff",6
"govenorperry",1
"governorperry",112
"governorperry...",1
"governorperry's",16
"govgaryjohnson",26
"govgaryjohnson..",1
"gpaugam7",1
"grace_lightning",1
"gracee_facee",2
"graceishuman",1
"gradygroove",1
"grandmawat",1
"graniteprof",1
"grantcardone",3
"grantyoung72",1
"graubart",1
"greenecoswing",3
"gregmankiwblog",2
"gregmhenderson",1
"gregolsen82",1
"greybeard411",6
"grist",1
"grivno",7
"groeschie",1
"guypbenson",5
"gwbertsch",3
"h_naili",1
"h3shoor",1
"hafsamohamed1",1
"hale_razor",1
"hanitabonitaa",1
"hanzi83",1
"hardline_stance",1
"haritnandani",1
"harrisjalex",3
"harrymattison",1
"hashtagraiders",1
"havoksmr",1
"hayesbrown",1
"haynesworthless",2
"hbk112",1
"heatcheck23",1
"heatherlaclaire",1
"hedder22",1
"hedgefundplay",4
"heidiforliberty",2
"helenamarie",1
"hellendrung",2
"herekittykittee",2
"heritage",197
"heritage!",1
"heritage's",2
"heritagefoundation",1
"hermaincain",1
"herman",2
"hermancain",3
"hermancain?",1
"hermancainyou",1
"heyjacquidey",1
"heytammybruce",1
"heyyobecky",1
"hfacrepublicans",7
"hggrty666",1
"himynameisseton",4
"hindhassan",1
"hinesalmy",1
"hinesjimmy",2
"hipechik",5
"hlbengineering",1
"hodgman",1
"holiness1st",2
"hollybdc",1
"hollywoodrepub",2
"holtzmanjason",5
"holybats",3
"hometown_hero12",2
"hootsuite",6
"hopesolo",1
"hotlinejess",1
"howardfineman",4
"howmanypotusers",1
"hoyboy",1
"huffingtonpost",14
"huffpostpol",21
"hugh",1
"hughhewitt",6
"hugoschwyzer",1
"hunterdk",1
"hunterligon",1
"huntsman",1
"hybrid79",3
"i_lurv_fufu",1
"iamchrisscott",1
"iamdanielharris",1
"iamdrtiller",3
"iammalikperkins",1
"iamroblewis",1
"iamtech",1
"iamtruthkilla",1
"ianessling",7
"ibrahimsalih",2
"icantbefamous",1
"icaruspundit",8
"icecoldmoloko",1
"ictine",1
"ieatcuddles",1
"ifallsjohnson",1
"igcarr",3
"ignorantics",1
"ihoodscholar",2
"ikhras",2
"ilady_b",1
"ilikemikeperry",2
"imajes",3
"imak48",2
"imao_",4
"iminobama2012tn",1
"imjustinstanley",1
"impeachtheidiot",3
"impotex",1
"imrangarda",1
"in_the_meadows",1
"inajaffenpr",1
"incaloka",1
"inciteinsight",2
"indigenous01",2
"ingridgergmen",2
"intellecttripod",1
"intelwire",7
"intenseca",1
"interactionorg",1
"iowagoper",3
"ire_2008",2
"irespectfemalesbutnotmyself",1
"irishspy",15
"irreverentview",1
"ischafer",1
"ishaantharoor",7
"isoulharris",2
"ispeakquinn",1
"its__time",1
"itsmach",1
"itsmycountrytoo",1
"itswilltime",1
"ivanlajara",1
"ivyhurst",1
"j__swift",1
"j_ling",1
"j0d3y",1
"j4lyn",1
"jackhutton",1
"jackie_pepper",1
"jacknfla",1
"jacksondiehl",5
"jackwadeshow",5
"jahimes",4
"jakejohnson20x6",1
"jakeshannon",1
"jaketapper",1
"james_x_",2
"jamesfallows",28
"jamesjetsoften",1
"jamesnapoli",1
"jamestaranto",2
"jamey_f",1
"jamiedupred",1
"jamiedupree",9
"jamiekilstein",5
"jamiesimon",1
"jamietarabay",1
"jamilsmith",26
"jan_olsmar",4
"janellejadore",1
"janjamm",2
"jarjarbug",10
"jasminramsey",3
"jasonbwhitman",11
"jasstanford",2
"jay_tizzle_",1
"jayandsteve",1
"jaydabhi",1
"jaydawg323",3
"jayvee002",1
"jazzshaw",1
"jbennet",1
"jbplainblog",6
"jcabezona",1
"jcbivins",1
"jclopezcnn",6
"jdickerson",2
"jdpeterson",1
"jdpeterson's",2
"jdub929",1
"jedediahbila",8
"jedi_son",3
"jeff_deluca",1
"jeffchanceusa",3
"jeffersonobama",6
"jeffgoneviral",1
"jeffkloy",1
"jeffpearlman",1
"jeffzeleny",1
"jendeaderick",3
"jengranholm",1
"jenntxdem",1
"jenny0101",2
"jensalan",4
"jerebear149",1
"jeremymprince",1
"jeremyscahill",110
"jeromemarinny",2
"jessanaomi",4
"jessewilliams_",1
"jessicatiahrt",2
"jethang",5
"jevaun",1
"jfahmy",4
"jgarveyjr",2
"jgibsondem",2
"jgrecko",5
"jiburg4",1
"jilldlawrence",1
"jillmcfarland",3
"jimacostacnn",8
"jimcobber",4
"jimgeraghty",1
"jimmie48rulz",2
"jimmylasalvia",4
"jimpethokoukis",1
"jimspellmancnn",8
"jj_mccullough",3
"jjhoster",1
"jjostm",5
"jkanarcho",3
"jkcarp1230",3
"jkfecke",4
"jlizak",1
"jm3679",10
"jmartpolitico",1
"jmason1010",1
"jmcaninch68",1
"jmcest",1
"jmedoom",1
"jmsummers",7
"joan_evans_nyc",2
"joeboutte",1
"joebrettell",1
"joecataldo",1
"joeconstitution",1
"joefuckingbiden",1
"joeldavidsawyer",1
"joeldwright",1
"joelipari",1
"joemygod",51
"joerut",2
"joethegr8one",1
"johnbennett12",1
"johncdvorak",1
"johncornyn",1
