"tweetscreenamecounts","Freq"
"arkticheskii",1
"arlenearmy",3
"armadillosoft",1
"armlessphelan",8
"armscontrolnow",1
"arra",8
"arsenalos",1
"arshi98",1
"artco77",8
"artdnandrews",1
"artemisbones9",1
"artemisloud",3
"arthidalgo",2
"arthuribrown",1
"artist4thepeopl",1
"arvelomcquaig",1
"as_promised",4
"asafus",1
"ascreamingbird",3
"ase",8
"aseclyst",1
"asesler",1
"ash_houti",1
"ashb_oh",1
"ashbrown77",6
"asher2789",1
"ashgrimes",1
"ashlandian",2
"ashleefilkinswv",1
"ashleighataylor",1
"ashley_reynolds",1
"ashley0317",2
"ashleymyers93",1
"ashleyrparker",1
"ashleyscorpio",1
"ashleyselmon",1
"ashleywytenus",1
"ashmont",7
"ashong",18
"ashpony",1
"ashtinj",1
"ashviper",1
"asianconsblog",9
"asiancow",3
"asiangrrlmn",1
"asimk29",4
"askamerica2",1
"askan_atheist",1
"askari4cain",4
"astepanovich",3
"asteropea",1
"astrologypamela",1
"asydlow81",1
"asyoureadthis",4
"at_ikayla",1
"atallonia",1
"aterkel",1
"atfreport",1
"athiestgeek",1
"athoughtofmind",1
"atiger94",1
"atlasshrugs",2
"atlkhalid",1
"atm25",2
"atodell",15
"atomicdaytona",2
"atownbrown08",1
"atoyota",1
"atrainey",1
"atreides88",1
"atsentinel",1
"atsneed",2
"attackerman",3
"attitude",1
"atty79",1
"atvpolitics",6
"atxaircamm",1
"atxc18",1
"au0725",2
"audacityofpope",3
"audreywhitetx",1
"aunt_viv",1
"auntyemericann",4
"aus4occupy",1
"austentwit",2
"austinb27",1
"austinhagee",1
"austinkdearmond",1
"austinpatrickc",1
"austinradar",1
"austriandad",3
"authorkckuma",3
"authrax3",1
"avarsanyi",1
"average30gal",2
"averoes81",8
"avivadetroit",1
"avocams",1
"awardsdaily",1
"awcas",1
"awdeansr",1
"awesomedtexan",1
"awg9988",1
"awible",1
"awkwardfuzzball",1
"awtchy1",2
"axpez",1
"ayanusman",1
"ayeembeezy",1
"ayeemr_carter",1
"ayyitslaura",1
"az_analyst",1
"azannaphx",1
"azbeerpres",5
"azcosmos",1
"azimjessa",1
"azizalalami",5
"azmegb",1
"azuliazebleaux",5
"azurewolf83",3
"azza_altiraifi",1
"b_d_silver",2
"b_fung",5
"b_nolen",1
"b_ridge21",1
"b_saintsing",1
"b_spotless",1
"bababear1",1
"babamalik2010",1
"babblefy",1
"babshabits",1
"babytoothdoc",4
"bacardimo",2
"bachelorboyent",1
"bachmannsbrain",6
"backbeatlives",1
"backdraft9213",1
"backyardconserv",2
"badanabanana",1
"badasskid",3
"badrockr",1
"bah0228",2
"baileyconnell",1
"bakerlarry84",5
"ball4boston",1
"ballabon",3
"ballenwhite",2
"ballerinax",4
"baltimoredalek",1
"bama_dad1",1
"bambi380",3
"banafshehgh",1
"banditontherun2",4
"bandon_decker",10
"bankhoops",1
"bap126",1
"barb_hill",2
"barbaraslavin1",4
"barbarn",1
"barbiewithatude",4
"barbls23",1
"barbndc",1
"barkerchad",3
"barkway",3
"barman_rlm",1
"baroka",1
"barracuda1776",1
"barredbird",1
"barreras_brain",3
"barrettgoetz",1
"barriejim",1
"barron_",1
"barrybj711",3
"barryboomradio",3
"barrychute",1
"barrydonegan",2
"barrywygel",1
"bartbolger",1
"bassmaster12",1
"bastiat1850",3
"baxter_ryan",2
"bayoubigun",1
"bayugabug",2
"bbachner",3
"bbailey13",4
"bbetsill",1
"bbhasher",2
"bbtlandia",1
"bcrawford4perry",1
"bcullison",1
"bda",1
"bdiddynova",1
"bdills60",1
"bdomenech",1
"bdr1976",1
"be_d",2
"be4long",5
"beahundal",1
"bealeighlee",1
"beammeupbrandon",2
"beardedstoner",2
"beargreenz",1
"bearswin11",1
"beatem_seaton",1
"beatfactorydmv",1
"beatyafacegreen",1
"beaubowden",1
"beaubrowninginc",1
"beautifullbee",1
"beautyconsazon",1
"beautyon_",6
"bebullish20k",7
"becbyers",2
"becca32090",1
"beccaelman",1
"bechamilton",11
"beckawall",3
"becker4prez",1
"beckett8",3
"beckystlouis",1
"beckywsays",1
"becomingamw",1
"beebalm2010",1
"beeeclark",3
"beejayparocks",2
"beepluss",2
"beharfornewyork",1
"beingleah",1
"belegalorleave",1
"belindjy",1
"bellaandfrank",1
"bellanerdette",10
"bellavie92",1
"belledarcel",3
"bellumletale",1
"beltwayblondie",3
"belynda13",2
"ben_birnbaum",2
"ben_bones_jones",1
"ben_howe",3
"ben_kong",1
"ben_peacock",1
"benblazewrites",1
"bendeming",1
"bendreyfuss",1
"benhjacobs",1
"benizms",2
"benjaminja",2
"benjaminpollock",1
"benjaminsauceda",13
"benjieg",1
"benjiwhitehead",1
"benkrimmel",1
"bennewman",2
"benny_the_bull",1
"bennyc50",1
"benonpolitics",1
"benphilpottkut",1
"benrosspoole",2
"bensherman01",5
"benwerd",1
"benyeahwhat",2
"benzygmunt",1
"bequepee",2
"beregond",2
"bergie1393",2
"berk2brook",2
"berkson0",1
"bernieslaughter",2
"bertine83",11
"besbev",6
"bessgallanis",1
"bessiejking",2
"beth_obrien",1
"bethanyshondark",5
"bethritter58",2
"betibiel",1
"betterworldorg",1
"betty1328",1
"bettybrowser",1
"beverlyallen2",1
"beverlywatt",1
"beybreezycanada",4
"bfargz",2
"bflobeast",5
"bfreshtweet",1
"bfrysworld",2
"bfurman",2
"bfurnas",1
"bgolnik",2
"bhall35",1
"bhartman87",1
"bhasemeyer",2
"bhenleyusa",1
"bhmengineer",1
"biesanak",3
"big_dread",6
"bigarashad",2
"bigbada_boom",1
"bigbobttu",2
"bigcmaz",1
"bigdogsbg",1
"bigdougxl",1
"bigfatwhale",1
"bigfoottornado",1
"bigfosto",2
"biggz414",1
"bighub",2
"bigjohnhowell",2
"bigl8551",2
"bigmoe_",1
"bigpapiht",1
"bigthinkr",6
"bill_michels",1
"bill750",1
"billbrasky9",1
"billcanacci",8
"billck",8
"billdurdach",1
"billfix",1
"billfwade",3
"billhammett",2
"billhatfield",1
"billiam23gti",1
"billiegirltoo",1
"billjusino",1
"billknous",1
"billmanzi",1
"billmason",1
"billmc7",1
"billmurphy",3
"billy0504",6
"billybam",5
"billyfarrell3",2
"billyholder3955",14
"billyv123",5
"binarymutant",1
"binfranklin",1
"birdiebuster72",1
"bishopap",8
"bistrobroad",1
"bitalee",2
"bitsbert",1
"bj9mac",1
"bjfishes",1
"bjlefebvre",2
"bjlothian",1
"bjmaclin",1
"bjonthegrid",4
"bjr70",1
"bkatgr",1
"bkb2443",16
"bklynoccupier",2
"bkosgei",1
"black_king",2
"blackaussie1",1
"blackcanseco",8
"blackdragonfly5",1
"blackrepublican",10
"blackroseesq",1
"blacksheeprpt",7
"blackstaff01",3
"blackthisout",7
"blacktiles",1
"blairpalese",1
"blakealexis",3
"blakeantaylor",3
"blakeffm",2
"blakegober",5
"blakes4",1
"blandinbasement",1
"blaqops",1
"blaqparishilton",4
"blario",1
"blasta_exploder",1
"blatta_in_al",3
"blayzinblyss",1
"blaze_chriss",2
"bldingtbettrmt",11
"bleachergm",2
"bleedinwhiskey",1
"bleefureigh",1
"blessed2be_z",2
"blevine16",1
"blindcatmagoo",2
"blindpaladin",2
"blizzybe",1
"blk_theolog",1
"blkandwhte",1
"blkmymorris",1
"bll141cbot",2
"bloatedcarcass",2
"blogbat",7
"blogbells",5
"blogdiva",15
"blonde4764",1
"blondersholmvik",4
"blondie1983g",3
"bloombergview",3
"bloomingcyclist",4
"bluberripoptart",1
"bluedevildavey",5
"bluegrasskenh",2
"blueinindy",1
"bluelennon7",1
"bluesundrops",2
"blueyezjess",2
"blytheontuesday",3
"bmartinofsc",5
"bmbpllc",2
"bmenoza",1
"bmfjb",1
"bmoody850",1
"bmorebirdsnest",1
"bmorrett",4
"bmuller4013",1
"bnowak",1
"boazziz",1
"bob_blouin",1
"bob_boblaw",2
"bob_fitch",1
"bob_owens_blog",1
"bobanderson77",5
"bobbarbato",1
"bobbicool",1
"bobblespeak",3
"bobbyboucher604",3
"bobbybroad",2
"boboroshi",2
"bobraffo",1
"bobsanti",1
"bobtheog",2
"bobzgone",8
"bodepaul",1
"bodkincromaboo",1
"bodybynance",1
"bodylitics",3
"bois_dentelle",1
"boloboffin",1
"bombadier_12",1
"bombeeznuts",1
"bonafidebamf",1
"bongothepongo",2
"bonnersisters",1
"boof11berry",2
"book_review_",2
"bookaddict22",1
"bookdal",12
"bookerdubois",10
"bookerreid",1
"bookofjames",4
"bookofjim",4
"bookoflazy",1
"bookofsteve",1
"booksnyc",1
"boomerw",3
"boothman23",1
"boreguru",1
"borntooslow",2
"bornunderreagan",1
"borowitzreport",3
"bosoque",2
"bosson100",2
"bossychick",1
"bossymother",1
"boston3346",3
"bostonradio",1
"bostshawn",2
"boubah360",3
"bougeebehaviour",1
"bourbonface",3
"bowedoak",6
"bowmama",9
"boyejobi",1
"bozmartin",1
"bpgulfleak",3
"bpizano67",1
"bpolitic",5
"bpopeizdope",7
"bradandbritt",1
"bradenpace",1
"bradgilligan",3
"bradleybirzer",1
"bradmarston",1
"bradmartin311",1
"bradsaville",2
"bradthor",1
"bradzinsky",1
"brai24",1
"braizblot",1
"bran_inthearena",1
"brandanbonds",1
"brandonbohning",2
"brandoncane",1
"brandondarby",1
"brandondryrock",4
"brandonkiser",5
"brandonmerrell",1
"brandonmwest",1
"brandooom",1
"brandootr",6
"brandowarner",3
"brandybailey",2
"brass4321",1
"braunold",10
"brazen3",5
"brdou",2
"breathless2",1
"breeannehowe",6
"breezyswagbeats",2
"brendan_myers",1
"brendanloy",1
"brenisphere",2
"brentalang",1
"brentb140",2
"brentgalbreath",1
"brenthunsaker",1
"brentteichman",1
"bretlonder",4
"brett_kincaid",1
"brettamurphy",1
"brettcott",3
"brettmdecker",2
"brettmm",3
