"tweetscreenamecounts","Freq"
"adamtodd310389",1
"adamtrends5",1
"adamwagner1990",1
"adamzenko",1
"adanisanusi",1
"adaphibeta",1
"adapperfellow",1
"adaptivecoach",1
"adaptivefilms",1
"adavic",1
"adbphd",1
"adbridgeforth",1
"adcoffee",1
"addicthelper",1
"addicti0nnati0n",1
"addictionguy",1
"addictiontweets",1
"addiehmaria",1
"addinfoorg",1
"addisonbo_ace",1
"addydoc",1
"addyeb",1
"ade_rachmat_iz",1
"adeanx3",1
"adebolarayo",1
"adee_nadia",1
"adel_mostwanted",1
"adelafuente1",1
"adelaloffi",2
"adeleinglis",1
"adelenedawner",1
"adeleroseg",1
"adeleyeahmed",1
"adelmoral",1
"adepressedlife",1
"adesinatobiloba",1
"adesojiadegbulu",2
"adetokunbo007",1
"adhaalath",1
"adhd_academic",1
"adhd_info",2
"adhdaware",6
"adhdfdn",1
"adhocmama",2
"adhsftc2012",1
"adi_cat",1
"adigitalaccount",1
"adigrgic",1
"adirondackal",1
"adishofkindness",1
"adismara",1
"adityaoby",1
"adjah_l",1
"adjordan",1
"adju05",1
"admiral_baby",1
"admiral_evil",1
"admiralstoney",2
"admitonesin",1
"adnilhoom",1
"adobeconsult",1
"adoptionlady",1
"adoremoore",1
"adpineo",1
"adpnoble",1
"adrakontaidis",1
"adreampuppet",1
"adri_curiousity",1
"adriana_d10",1
"adrianadulmage",1
"adrianarambulo",1
"adrianbeane",1
"adrianbriggs",1
"adrianbritton",1
"adrianc28501816",1
"adriane_krivane",1
"adrianlilly1",1
"adrianmtz8",1
"adrianne_jane",1
"adrianweston1",1
"adrielrahman",1
"adriennegurman",1
"adriennewallace",1
"adriennewarren5",4
"adrigarciam",1
"adrim00",1
"adsartha",1
"adub3015",1
"aduduuuu",1
"adultskins",1
"advancemattapan",2
"advanpracticern",1
"advertisett",1
"advinarisa",1
"advioso",1
"advocacyconsult",2
"advocat4autism",1
"advocatesh",1
"adyp200",1
"aehsthegod",1
"aejayyy_",1
"aekirzinger",1
"aelmiladi",1
"aeracher",1
"aerjones",1
"aespillers",1
"aeto",1
"aewmedia",1
"afaduln",3
"afairgoforall",2
"afarley123",1
"afarq",1
"afbwoman",1
"afc_glen",1
"afc33125",1
"afcvtheenemy",1
"afdalatief_",1
"afennell_17",1
"affetto_nicole",1
"affiliatedesire",2
"affirmradar",1
"afgsupport",1
"afiiq_16",1
"afnzmri",1
"afollowbackbot",1
"afourmation",1
"afreeluminary",3
"afreen_muna",1
"africaatl",1
"africanmuse",1
"afrikanpower",1
"afrobam",2
"afropolitaine",1
"afsp_al",1
"afsp_kc",1
"afsp_or",2
"afsp_wa",2
"afspcolorado",1
"afspflse",1
"afspnational",4
"aftershock27",1
"afuckedsociety",1
"afullmargin",1
"agabourie31",1
"against_average",1
"againstthebanks",1
"againstthehurt8",2
"agapecccinc",1
"agapechoir",1
"agashi13",1
"agautsc",1
"agean6",1
"agencetank",1
"agencjasm",1
"agency33",1
"agendaefa",1
"agendamalta",1
"agentkash",1
"agentl7",1
"agenziamedialab",1
"ageofangels",1
"aggiashagre",2
"aggressivecunt",1
"aggressivewink",1
"aghastjan",1
"aghoury79",4
"agi_k97",1
"agitner",1
"agjsmom7600",1
"agknowitall",1
"aglobalgoddess",1
"agm100tuc",1
"agmorris1",1
"agnesbowker",1
"agnesday0204",1
"agnesnutter",1
"agnesphagnes",4
"agogodavid",1
"agoldenbay",1
"agriffith00",1
"agrionoesdulce",2
"aguglielmi81",1
"aguycalledmonte",1
"aguyinit",1
"ah_gibbs",1
"ahablives",1
"ahchenchenbd",1
"ahddrv",1
"ahealthblog",3
"ahess247",1
"ahexpress",1
"ahlalerts",1
"ahleach",1
"ahlual",1
"ahmakah",1
"ahmed_3allam",1
"ahmed_yassin1",1
"ahmedgooner",1
"ahmedkhawaja1",1
"ahoyitstaryn",1
"ahoysummer",1
"ahresihm",1
"ahrqacademy",1
"ahschroeder",1
"ahuntre",1
"ahwilensky",1
"ahynes1",1
"ai_do_valor",1
"ai82517",1
"aidaalami",1
"aidank18",1
"aidanmouellic",2
"aideenshortt",1
"aidey2010",1
"aidilasyrf",1
"aig_cool",1
"aijadaina",1
"ailesperdues",1
"ailetushka",1
"ailyn_mccartney",1
"aimableht",1
"aimeealam",1
"aimeeeeexoxo",1
"aimeeetwittor",1
"aimeeleduc2",1
"aimeemarie98",1
"aimeemcglone",1
"aimeepackwood",1
"aimeepatton11",1
"aimeeplauche",1
"aimeetavares",1
"aimisyhrh",1
"ainamarsya",1
"aintitotttt",1
"aintnofamily",1
"aintnomango",1
"airialclark",1
"airirons",1
"airlie_bird",1
"airtelly",1
"aishaashraf1",1
"aishahatirahid",1
"aishalton",1
"aishathepoet",1
"aislingd3",1
"aitepaeapaea",1
"aj_pickens",1
"aj_score",1
"ajafirestone",1
"ajaxon70",1
"ajbisherenow",1
"ajd_44",1
"ajikhetus",1
"ajimmerson",1
"ajitakad",1
"ajizzle1219",1
"ajoobacats",1
"ajthigpen0321",1
"ajubrey",1
"ajyasgar",2
"ak_kiissez",1
"akad3mic",1
"akaisilks",1
"akakaiser",1
"akakatlee",1
"akaleeboy",1
"akamom1996",1
"akanchhaaryal",2
"akarahasanovic",1
"akathaschust",1
"akbailey85",1
"akbund",1
"akeller9",1
"akelly2002",1
"aketch22",1
"akffryyn",1
"akhisalah",1
"akido37",1
"akieag",2
"aking4news",1
"akinmurewa",1
"aknecht",1
"aknill",1
"akon_rocks",1
"akorabirungi",1
"akotas",1
"akpierce",1
"akrunnerdude",1
"akrynym",1
"akspov",1
"akuanobeningo",1
"al_habieli",1
"al_marquardt",1
"al_noobz",1
"al21ce",1
"ala_kat",1
"alaany2",1
"alabamaslammer",1
"alainaib",1
"alameencharges",1
"alan_cochran",3
"alan_uplc",1
"alanabanaa",1
"alanaevansxxx",1
"alanayates4303",1
"alaneggleston",2
"alanfossler",1
"alangager",1
"alanjonstuart",1
"alanna287",1
"alannadallmann",1
"alansavill",1
"alanscott61",1
"alansut",1
"alantshearer",1
"alapsedcatholic",2
"alaskanskies",1
"alaxitoo",1
"alaynax123",1
"alazne69",1
"alb_krs",2
"albalondubh",1
"albertalbs",1
"albertarabbit",3
"albertelysgaard",1
"albertenstein",1
"albertinigabry",1
"albinaie968",1
"alcibiadesslim",1
"aldddddd",1
"aldimas02",1
"aldrdgsatx",1
"ale_winchester_",1
"aleahbalas",1
"aleash_ashore",1
"alecia_nabilah",1
"alecrosss",1
"alecschill",1
"aledthatisme",1
"aleisharry",1
"alekot",1
"aleks_silva_",1
"aleksjudge",1
"alemartini_",1
"alemayehuaman",1
"alenakpardi",2
"alenisaac",1
"alenkarabegovic",1
"alesscullen",1
"aletakeith",1
"aletha9847",13
"aletheaaaaa",1
"aletheaking",1
"aletheiaquester",1
"alevasconsult",1
"alex__butler",1
"alex__lilley",1
"alex_b625",1
"alex_btyt",1
"alex_goes_meow",1
"alex_holmes78",1
"alex_jones_auth",1
"alex_mclaren",1
"alex_neon_john",1
"alex_pilatos",1
"alex1andrei",1
"alex2552xela",1
"alex2ajonsson",1
"alexa464380126",1
"alexabboud",1
"alexalmeter",1
"alexandernut",1
"alexanderpwhite",1
"alexanderuk",1
"alexandra_bacon",1
"alexandradavid1",1
"alexandradevitt",1
"alexandrelaudet",2
"alexandvevo",1
"alexaschratz",1
"alexashtun",1
"alexavendano",1
"alexbinkleywrit",1
"alexbpearson",1
"alexchooch",1
"alexchristie1",1
"alexcolemam",3
"alexdanielle",1
"alexdigenakis",1
"alexdjones",1
"alexgamela",1
"alexgore29",2
"alexgroganx",1
"alexhimelfarb",2
"alexis__smith",1
"alexis176",1
"alexisballew",1
"alexisbelon",1
"alexishagerty",1
"alexisissassy",1
"alexisrcrosby",1
"alexistai",1
"alexjh9",1
"alexjpayne1",1
"alexlandor",1
"alexletellier",1
"alexlinesxxx",1
"alexmarcus",2
"alexmyers83",1
"alexp9993",1
"alexr1712",1
"alexrgordon",1
"alexroten2",1
"alexsandrah_g",1
"alexsharedlives",1
"alexstevens",1
"alexstormcam",1
"alexstrashny",5
"alexthe4th",1
"alexwillx12",1
"alexxlauzon",1
"alexxluongo",1
"alexxxprincesss",1
"alfiefan4ever",1
"alfonsoguzmanlu",1
"alfredlam",2
"alfredopetas",1
"alh628",1
"alhaggie",1
"alharthiawadh",1
"ali_faceache1",1
"ali_faruk",1
"ali_muu",1
"ali_oxner",1
"ali5ha_",1
"aliajeena",1
"aliashere",2
"aliberlinski",1
"alice_11111",1
"alicecomnena",1
"alicefuller",1
"alicegold",1
"alicehennigan",1
"aliceinrehab_",1
"alicetheowl",1
"aliciaaaaah",1
"aliciabbrooks",1
"aliciaki_pat",1
"aliciaveri",1
"alicici",1
"alicington",1
"alienfromasgard",2
"alienisticbrew",1
"alienjeremiah",1
"alienpoz12",2
"aliensandnerds",1
"alihelladope",1
"aliii_bellaaa",1
"aliisamoose",1
"alikhatib2000",1
"alina_1dconcept",1
"alina90_xox",1
"alinadewgard4",1
"alinkap",1
"alisaspeaks",1
"alishasett",1
"alison859",1
"alisonbarrow",1
"alisonbates200",1
"alisonbennett4",2
"alisondeluca",1
"alisonjackson",1
"alisonrose711",3
"alisonsherlock",1
"alisonskiba",1
"alisque",1
"alissa_sarah",1
"alissa_t11",1
"alissaskins",1
"alistsolutions",1
"alittleopus",1
"alittlewrath",1
"aliveandreal",3
"aliveinthewired",1
"alix_finnegan",1
"alixspurlock",1
"aliyahvengeance",1
"aliyaqew",1
"aliyerrr",1
"alkarmi",1
"alkasinha04",1
"all_celebnews",1
"all_ceus",1
"all_ears11",1
"all_trends_it",2
"all4paige",1
"allaboutmac510",1
"allamricn",1
"allanapratt",1
"allanetmanski",1
"allanoneill",1
"allayohealth",1
"allblackclothes",2
"allboutsafety",1
"allcaps_",1
"allcapsbro",1
"allchangeali",1
"allclipsbro",1
"allegraottawa",1
"allejandero",1
"allen_bernard1",1
"allenmeadors1",1
"allenohare",1
"allenwest",1
"allenwestarmy",2
"allenwestrepub",4
"alleyfitz",1
"allforbella1",3
"allhailjerry",1
"allhealthinfo",1
"alliancefilms",1
"allibroad",1
"allie_berry12",1
"allie_clayton",1
"allie_pooler",1
"allie_was_here",1
"allie_wolfert",1
"alliecouchx",1
"alliedagedcare",1
"alliedmacd",1
"allieebob",1
"alliehinga",1
"allieinawe",1
"alliekamps",1
"alliekatphoto",2
"alliemontie13",1
"alliiispencerrr",1
"allison_gold",1
"allisonbarnes8",1
"allisoncheryl",19
"allisoniscutee",1
"allisonjcass",1
"allisonmaureen1",1
"allisonplus",1
"allisonquinn98",1
"allisonx08",1
"allisv4nity",1
"allldaydemi",1
"allmahogany",1
"allmailife",1
"allmightejebus",1
"allnewyorknews",2
"allotment15b",1
"alloutcricket",1
"allsaygrace",1
"allsexfacts",1
"allshiny",2
"allstevie",1
"allthebestnews",3
"alltop_lifehack",1
"allttv2012ab",1
"allucanbe",7
"allurinadrianna",1
"allweston",1
"ally_cat_11",1
"ally_wsm",2
"allyaj84",1
"allycameron2",1
"allygunderson",1
"allykellly",1
"allyoxenfree",1
"allyraz",1
"allysemoto",1
"allystupart",1
"allyvibes",1
"almadurr",1
"almalisdewberry",1
"almaqdam",1
"almboo2864",2
"almorph2",1
"almostanais",1
"alnory80",1
"alodamienrotgut",1
"aloe4u",1
"aloha4doctors",1
"alohaberni",1
"alohaitsangie",1
"alohanataliemac",1
"alone_and_empty",1
"alone_andlost",1
"aloneatsundown",4
"alonzoavendan0",1
"alotuse",1
"alovelyladybird",1
"alpha_mich",1
"alphanewlife",1
"already_gone9",1
"alrightharry",1
"alsamryka",1
"alsonamedphil",2
