"source","target"
"truthispoison","Spytap"
"swagmotha","stillblazingtho"
"KristianneMrsC","rolandsmartin"
"Reaganista","TheFix"
"ASKAMERICA2","colonialdude"
"desifeminista","JamilSmith"
"ConTeach","Katie4Politics"
"UrbanMilkmaid","buddyroemer"
"lia_ferrante","rationalists"
"bluelennon7","tabyyyG"
"louiietae","danifestmestiny"
"nicktheandersen","studentactivism"
"TroyTompkins35","CBSNews"
"trentonsperry","BorowitzReport"
"raypride","drgrist"
"UsurperPete","AnandWrites"
"spanishNY","UnivisionNews"
"voterschoice","420dailynews"
"ianpratt01","cnnbrk"
"FrankAnderson4","attackerman"
"JhanelleDennis","jessewilliams_"
"WhenOnKStreet","TonyRomm"
"VixSofii","LOLGOP"
"JScribe","addiestan"
"Mike_Zawadzki","southernavenger"
"yoscobbygirl","piersmorgan"
"anthropocon","dangainor"
"JoLo219","NatJournalBaron"
"PatriotintheUSA","Heritage"
"LindaLedbetter","scott_nicholson"
"SethDMitchell","hughhewitt"
"lxboof","BlackSheepRpt"
"jraedupree","BorowitzReport"
"KazAnnette","DamicosThoughts"
"mariocobos2001","TheFix"
"DRINKN_H8ERADE","bacardimo"
"silveracer44","southernavenger"
"s_dowling","_MDowling"
"bendreyfuss","cherylrofer"
"Bertine83","DemocratMachine"
"andyhartleyshow","rationalists"
"cajunkate","Commentary"
"Padoozles","TeamRickPerry"
"sjh2222","BlackSheepRpt"
"allie_hagan","KABarry"
"ianpratt01","SooperMexican"
"Sleevetalkshow","ADIOCHAIN"
"caseyloper","EmilieMareus"
"Jcoltrinari","CatoFP"
"MulliganStew63","PaulBegala"
"AfricanProspect","B_4BeLOVEd"
"Paufrusciante","Enrique_Acevedo"
"cyndeZu","southernavenger"
"CGD0027","PoliTexan"
"stanleyazuakola","washingtonpost"
"EatingAHobo","sullydish"
"mleewelch","notjessewalker"
"andywildman","JamesFallows"
"djimenez9","EllenBarkin"
"Little_Luna1","blogdiva"
"libsterlibby","newkingofmedia"
"AlvinsMom","buddyroemer"
"jenn_1love","AC360"
"larrydevorejr","rumpfshaker"
"CircleOfTwo","cprater"
"HolyBats","StephenShelton"
"CarriBugbee","peterdaou"
"mrsqspn","BorowitzReport"
"MisterFreedom","greybeard411"
"HomieLoveFriend","piersmorgan"
"FireobamaIn2012","THEHermanCain"
"thelovelytruth","YoungDiplomat"
"randomvariable","sullydish"
"michaelquotes1","abrahamjh"
"Visionaryck","acarvin"
"cukyperez","BorowitzReport"
"psddluva4evah","sullydish"
"Averoes81","bethanyshondark"
"","MaNnyfESteR"
"Nanotyrnns","fakedansavage"
"themoornextdoor","SlaughterAM"
"elmundoamerica","ruiefe"
"ComfortablySmug","TheFix"
"dceiver","LizMair"
"MaxeenDeniro","jamiekilstein"
"TheChickAbides","JoeMyGod"
"gmcclenny","LargeRedTractor"
"divanekai","rolandsmartin"
"Fershizzel","LibertyPoet"
"DEdwardBeck","sullydish"
"PJF48336","piersmorgan"
"Praying4Cain","kylemaichle52"
"detectedbeats","desifeminista"
"whistle39","politicoroger"
"wvugoober11","postpolitics"
"docbndgrl9113","BoomerW"
"RyanWndr","PaulBegala"
"jomaxx","TheFix"
"alexkauff","rjgrace"
"IsThisATweet","porsche4848"
"mkmiller63","fbmadman1"
"el_cseh","PaulBegala"
"tratterree","BorowitzReport"
"linbergbaby","THEHermanCain"
"Lando244","piersmorgan"
"kurtcoG","DanielWestlake"
"greensquirel","ImpeachTheIdiot"
"LupisSolis","Enrique_Acevedo"
"eclecticbrotha","PaulBegala"
"timothy_stanley","blackrepublican"
"MzYun","PaulBegala"
"jahbalon","BryanJFischer"
"YouAreMyPokemon","piersmorgan"
"joyomama","conor64"
"jnathanbullock","Clarknt67"
"FlywayFilmFest","MojaveMusing"
"jacobperry","tgiovanetti"
"bpolitic","GovGaryJohnson"
"DespicableCoco","BorowitzReport"
"myclob","andreamsaul"
"dandrezner","SlaughterAM"
"Jungle0731","keder"
"Ramon_HYFR","UnivisionNews"
"Phillygirl1441","PaulBegala"
"cserna11","postpolitics"
"GOPBlackChick","EditMeDavid"
"HeckYaDangIt","AnonyOps"
"mfpseth","sullydish"
"BugInJim","RevPac"
"Jane_Roh","keithurbahn"
"SmoosieQ","FingersMalloy"
"WassupJL","stillblazingtho"
"mayraisapanda","NatJournalBaron"
"EvBarocas","TheFix"
"voterschoice","buddyroemer"
"A_Nicole20","CNN"
"RezRezS","sullydish"
"t_bombers","skunkwkrz"
"Spaynce","CBSNews"
"AlvinsMom","TheFreshBrew"
"Lana_Jordan","StevenErtelt"
"AstrologyPamela","sexythinker"
"GeraldWThomas","THEHermanCain"
"jaiiime","raypride"
"occupyblipfm","buddyroemer"
"leroy6168","DougBenson"
"genwlz","Patriot2USA"
"mytngenes","FloridaJayhawk"
"rzrbladeola","LOLGOP"
"jacquestoddard","Heritage"
"PhoenixWomanMN","RafaelMorataya2"
"Sleevetalkshow","MickiisaCainiac"
"slgooch","runedart"
"oldivory","MsDiva67"
"booksnyc","BorowitzReport"
"opinionoregon","TPPatriots"
"RonPaulsFriend","RevPac"
"FreeRangeK","drgrist"
"superbug75","RonPaulForums"
"hollabingbang","AKr3volution"
"Melanie_Bernal","bethanyshondark"
