"source","target"
"Tadlette","walcol53"
"iceboundcobra","eilidh_murray"
"jchojnicki","mauricioshinepr"
"MadeleineEmilyx","DanielJClaydon"
"kingjulieg","Kalarlis"
"lcalenda","AP"
"DanielJClaydon","MadeleineEmilyx"
"GardenVibe","tweet2u2"
"PFMind","TimetoChange"
"MissusPowell","gortiz5150"
"JsrRoger","ricmai28"
"JsrRoger","ricmai28"
"TheChambers1854","Morning_Joe"
"_michaelcao","jchansaywhut"
"gertmcqueen","ruthsippelpace"
"readerbee3","todayshow"
"djsattypuma","srichert49"
"Luiza_BigEye","Kalarlis"
"KhanObama","QueenRania"
"ranchdancer","cspanwj"
"toondi","TimetoChange"
"hillarykwiatek","JLMHokie"
"Gomezhill","TheRefuge_LA"
"Gloomycynic","blahmeblahlife"
"gortiz5150","MissusPowell"
"selfharmheals","MissAnaFreak"
"BnGx2","proadstudio"
"Rose4Jane","FollowBDT"
"TWSSSPORTS","sriii2000"
"NFloridaWriter","TheresaMaurer2"
"MissHeldi","Keeper85"
"mpjh","BetNot"
"stim100986","CKlosterman"
"boganjustice","BWHolland"
"SGTMajorE9","GunCrisisNews"
"ZenonSzulc","wildmoon"
"MissusPowell","gortiz5150"
"romMELrome","HuffPostBiz"
"MissusPowell","gortiz5150"
"jose82M","MsGiesler"
"doher30","CO2HOG"
"JuhiGingerDagli","andersoncooper"
"johnsebastian","johncolucci"
"baronkatz","ianhuckabee"
"JulianLives","DrKillgrove"
"yours_truest","goldietaylor"
"VHaftel","HuffPostPolfocusing"
"stephaniewilkes","ProfessorNana"
"thejanuariez","seattlerockgal"
"truthispure","GabbyGiffords"
"bexifurr","urchinette"
"jegerentwit","HealthCulture"
"MobiusDick","alendrel"
"MomSense","TheQuestman"
"jbeano","HuffPostBiz"
"noprisoners1","RepGosar"
"aliciaaaaah","Zoe_Graystone"
"casrose10","schemaly"
"canuck_033","DemandAPlan"
"Mechalith","kendermouse"
"GrooPunk","TheAnchoress"
"casrose10","schemaly"
"Ladypossum","jdubpbc561fla"
"PProeber","kentpg"
"ptomasso","PapiTerra"
"ForSaleByMum","kbieksa3"
"Ladypossum","jdubpbc561fla"
"simlyons","maiasz"
"_Amaelor","kbieksa3"
"sanghawellbeing","sanghawellbeing"
"electroboyusa","BrittanyMoso"
"electroboyusa","MyShadesOfBlue"
"electroboyusa","lesism"
"jaklong78","superkerri"
"electroboyusa","cunners4"
"electroboyusa","LifeRestored"
"Vickies_secret_","sickipediabot"
"electroboyusa","MentaliseMe"
"electroboyusa","SandyNeneSA"
"electroboyusa","ChrisLawford"
"GraceASharpe","APP_Publishing"
"electroboyusa","all4paige"
"DeCogito","sickipediabot"
"TazB33","sickipediabot"
"ericsean467","HuffingtonPost"
"Sundancer_UK","vickieb343"
"electroboyusa","SaraAnnwyl"
"ayyo_sockxz","ItsCOURTESY"
"meganrk","AC360"
"meganrk","AC360"
"KiraMantellLCSW","HealthyPlace"
"electroboyusa","stephenfry"
"NicoleCorreale","rebecca_ms815"
"WebAntOnYouTube","janbroni"
"HereticalHomo","AnnaHite"
"emmameade83","leblackwood"
"ArilRazzzak","SachaTan"
"sakolar12","CNN"
"leblackwood","emmameade83"
"SmallHuw","miles_chandler"
"CESaute","jaclynf"
"MsApocalypse","jaclynf"
"TotallyTopical2","night_drift"
"AndreaHoag","RepLynnJenkins"
"Hoppkinss","tystevez"
"boyracerlee2000","ItsJackOk"
"alisonrose711","jaclynf"
"trapdinawrpool","alexhimelfarb"
"boyracerlee2000","ItsJackOk"
"boyracerlee2000","ItsJackOk"
"thePatOrtiz","alyssagaye"
"J_Savage_90","Fly_Soulo"
"k_thomas2","ChrisCuomo"
"Mama3Cubs","NorthStar326326"
"Mama3Cubs","NorthStar326326"
"hannahstuart13","BoyceAvenue"
"Mosdaone","The_Divine1"
"meg2386","jaclynf"
"VincentMWebb","_be3zy"
"WreckTheHoose","KazMc67"
"Lee_ginge","JamieWalkerr14"
"jaclynf","queeractivist"
"dllzz","PaulFake"
"Ladypossum","jdubpbc561fla"
"McShmonald","Anthony_Mundine"
"almboo2864","GoldenEagle"
"MyAfterCar","suzspetals"
"Uppity1","Xyri3"
"Soniasuponia","MadBritishGuy"
"smallarmsrace","joerogan"
"","walalahoi"
"MissHOsei","TheeKaylaMarie"
"Meghanking123","alexandraB_xx"
"vikesfan0078","YourAnonNews"
"andrewstuartlee","sickipediabot"
"kfuckingstew","SashaKrisbian27"
"lilyogden","chelcie97"
"EditiEffiong","Gbemisoke"
"sivadac","DMC_Ryan"
"mochagrl","_NineThree"
"ShinRaijin","KristiePPC"
"mjones99","tholzerman"
"StopFreebies","JasonDunn67"
"sword_mike","M4gicFe4ther"
"sarahjanegirl","KailLowry"
"MissHOsei","TheeKaylaMarie"
"youthradio","CalEndow"
"simmerswept","chels_upton"
"Ivyomolo","Secretepain"
"_rrattray","BudLightBro"
"GrooPunk","TheAnchoress"
"j2yny","rachelstives"
"CaoRod","madanielapd"
"AnthonyJBarton","BreakingNews"
"TommyBeeswax","EricLademan"
"GrooPunk","TheAnchoress"
"meredithnudo","brittanieshey"
"GrooPunk","TheAnchoress"
"GrooPunk","TheAnchoress"
"SmTwnEquestrian","_thatbitchrider"
"PaigeRaine","gamespot"
"MadeiraBoo","AjenoMerveilles"
"Nicole_Moore42","sunriseon7"
"iragsdale","technosailor"
"frala_fontaine","courteneyh"
"mslooola","scATX"
"elenialex2","MarriedToGerard"
"DrLaPook","CBSEveningNews"
"Khoy81","PsychNeurotech"
"Hippofatamus","BOREDmommy"
"RachCunneen","Andrew_Solomon"
"the_rajun_bear","DanSlott"
"Itsthejobsstupi","truthout-""Mental"
"YTRJDSM","the_rajun_bear"
"TheJunkle","DanSlott"
"kristenmchugh22","DanSlott"
"MentalIllPolicy","TimetoChange"
"DeanoAKAbn","KymberlySeearam"
"MD_Creativ","DanSlott"
"davesmonty69","DRUDGE_REPORT"
"DMorenoOfficial","DanSlott"
"SilverbearHeart","RepMikeRogers"
"kimberlytoday","drsanjaygupta"
"naomiin","niaaverma"
