"source","target"
"SpaghettiKing",FALSE
"anamriol991",FALSE
"Mimi_Soria",FALSE
"SpaghettiKing",FALSE
"jaredwolf74",FALSE
"ConversationEDU",FALSE
"BrandonRipples",FALSE
"rhymeswithjoey",FALSE
"SpaghettiKing",FALSE
"Junipermeadows",FALSE
"austyb",FALSE
"hogiebear3",FALSE
"ACMHN",FALSE
"mchs_nl",FALSE
"jayjb85",FALSE
"starstruk79",FALSE
"SpaghettiKing",FALSE
"abbie0mg",FALSE
"Julissa_Marie97",FALSE
"DamnedWhore",FALSE
"SpaghettiKing",FALSE
"kaseyraystokes",FALSE
"torryaidan",FALSE
"SpaghettiKing",FALSE
"MentalMatter",FALSE
"DetDidine",FALSE
"Relaxed_Jay",FALSE
"becchall97",FALSE
"SpaghettiKing",FALSE
"SchizophreniaRI",FALSE
"sarolei",FALSE
"fionaok",FALSE
"LetsTalkBipolar",FALSE
"SpaghettiKing",FALSE
"thebalancedmind",FALSE
"PerfectlyPea",FALSE
"parkwaybecca",FALSE
"MarijuanaSeeds0",FALSE
"survivor214",FALSE
"SpaghettiKing",FALSE
"Vision_In_Mind",FALSE
"JeffShowalter",FALSE
"mqtwiry",FALSE
"Martarse",FALSE
"starstruk79",FALSE
"SpaghettiKing",FALSE
"fionaok",FALSE
"dfjpt",FALSE
"niki1295",FALSE
"patriot1944",FALSE
"BrerRabbitx",FALSE
"Chlojo__",FALSE
"ShesAllWrite",FALSE
"JustinReisNNC",FALSE
"colonelswife2",FALSE
"Scrufey21",FALSE
"TylerTMC",FALSE
"RecoveryNowTV",FALSE
"CNSAMedicareLcl",FALSE
"democracynow",FALSE
"_sln42",FALSE
"NayChi",FALSE
"GregWHoward",FALSE
"C_J_Hayes",FALSE
"Melissalil",FALSE
"pseudofauxme",FALSE
"ARCDM",FALSE
"jodichamilton",FALSE
"grahamctv",FALSE
"ClaudiaCTV",FALSE
"PMO_MacDougall",FALSE
"ctvottawa",FALSE
"FarFrmParadise",FALSE
"JSMrtg",FALSE
"miralowe",FALSE
"belkirley",FALSE
"ZuraidahCTV",FALSE
"rfschaffner",FALSE
"jannelandet",FALSE
"AdamWagner1990",FALSE
"transfix7",FALSE
"ewschell17",FALSE
"StevenOfKansas",FALSE
"krazysis2011",FALSE
"jrvr1031",FALSE
"LOLmerrill",FALSE
"cj_thumper",FALSE
"AndreaMisja",FALSE
"HalfwayToSP",FALSE
"TeacherBirdz",FALSE
"MarielHemingway",FALSE
"vespesian",FALSE
"cybersaur1",FALSE
"kilnclown",FALSE
"Break_Cycles",FALSE
"HarrisonPop",FALSE
"Clowndude",FALSE
"tarawasjesus",FALSE
"SeannaMarieM",FALSE
"GuRu_4_U",FALSE
"NancyLesic",FALSE
"The_Firkins",FALSE
"_JenniferScott",FALSE
"leon16066",FALSE
"ewschell17",FALSE
"HealthlineNews",FALSE
"LaurenKerbel",FALSE
"AACAP",FALSE
"JoJo_Kearno",FALSE
"grapejuiceone",FALSE
"kayleighpuget",FALSE
"ceanders",FALSE
"Distress_Centre",FALSE
"mindscapechris",FALSE
"mjd1946",FALSE
"cfourcelena",FALSE
"starstruk79",FALSE
"HesterRob",FALSE
"rilesmalvern",FALSE
"1PatriciaD",FALSE
"crabzlol",FALSE
"vanilllest",FALSE
"LauraSmith612",FALSE
"katiealiceolsen",FALSE
"TurnersEnigma",FALSE
"briannacooze",FALSE
"BlkFreeThinkers",FALSE
"mexikenzie",FALSE
"LiberalJohn007",FALSE
"JamieSmurf",FALSE
"CeltsAsBroncos",FALSE
"eriknokc",FALSE
"CeoEnron",FALSE
"RavensNestCLE",FALSE
"sharron279",FALSE
"Winterrfresh",FALSE
"bestof1000",FALSE
"ALLCAPSBRO",FALSE
"chrisramsey1313",FALSE
"hughes_kailey",FALSE
"aaronGsquirrel",FALSE
"swiftmary5",FALSE
"_Jesstopher",FALSE
"FahidBasheer",FALSE
"AliciaVeri",FALSE
"rhet203",FALSE
"chinyong",FALSE
"carol_fritz",FALSE
"RememberRobynne",FALSE
"MurfAD",FALSE
"sportsforyou",FALSE
"SuntectArch",FALSE
"naunie_b",FALSE
"mlhetland",FALSE
"Sheri_Hunt",FALSE
"TopSuperstars1",FALSE
"jstebick",FALSE
"welsh_tracey",FALSE
"Sheri_Hunt",FALSE
"FatBurningExs",FALSE
"BurnFat4",FALSE
"AllenOHare",FALSE
"HoldOnASec",FALSE
"timaaa69",FALSE
"jenboyd22",FALSE
"WeightObssessed",FALSE
"KatharineDill",FALSE
"ari_there_yet_",FALSE
"giles_corey",FALSE
"aymanfadel",FALSE
"FernandoMinna",FALSE
"Leksi",FALSE
"doctorrubin",FALSE
"FreganMeado",FALSE
"alexwillx12",FALSE
"ohwrigley",FALSE
"cherylslvnv",FALSE
"allie_wolfert",FALSE
"EvanDGotlib",FALSE
"glengaugh",FALSE
"fernmorrissette",FALSE
"TakePart",FALSE
"mobtownblues",FALSE
"democracynow",FALSE
"LENTILLOVER",FALSE
"EvanDGotlib",FALSE
"apescape",FALSE
"samperi_shelby",FALSE
"MSpaingone",FALSE
"PinkTopix",FALSE
"MentalHealth240",FALSE
"Suing_Connor07",FALSE
"MyRight2SpeakUp",FALSE
"awsamuel",FALSE
"nely11gv",FALSE
"vdWildenberg",FALSE
"muloril",FALSE
"vale_arata",FALSE
"meiss5",FALSE
"RatCatcherMpls",FALSE
"CheyRatnam",FALSE
"maryauda",FALSE
"annakari78",FALSE
"ninabravo",FALSE
"delfuego64",FALSE
"ninabravo",FALSE
"ninabravo",FALSE
"ChezEvy",FALSE
"AUchick2011",FALSE
"TheSiweProject",FALSE
"23jordyn23",FALSE
"HerbiePenguin",FALSE
"paradocsfilm",FALSE
"Lavender_Lines",FALSE
"HelloHerman",FALSE
"NaturallyAlise",FALSE
"trackgirlparis",FALSE
"ChelseaRPrindel",FALSE
"laurabrunner",FALSE
"JeffreyCywinski",FALSE
"zoomarang",FALSE
"vdWildenberg",FALSE
"KyleSeeback",FALSE
"SmileySteph2",FALSE
"VieraCarolina",FALSE
"vdWildenberg",FALSE
"Pinkstacie7",FALSE
"DHSStorytellers",FALSE
"Notsteve11",FALSE
"CommMatters",FALSE
"sarinaisshaft",FALSE
"SteveStormoen",FALSE
"Chimpuat",FALSE
"kekelly94",FALSE
"ALLCLIPSBRO",FALSE
"Turk0219",FALSE
