"source","target"
"JonathonSprings","johnhuntsman"
"Bfargz","patrickhdonges"
"FLBETH","Paula_Dockery"
"lisargray","The_Brent_Wadas"
"drbekafigo","lordsutch"
"CatNyugen","DanFosterNRO"
"dougusa1","NickKristof"
"truthissoap","TheFix"
"SavvyBroke","HelenaMarie"
"jasenko9","ASE"
"RepublicanRocks","RonPaul"
"tnams06","JoyVBehar"
"AmyEngland1","UOJim"
"BAllenWhite","ScottWGraves"
"joelvedo","newtgingrich"
"Jaesinn","Arianna8927"
"NovaTess","chrisalbon"
"twingals","DrAndyBaldwin"
"donna816","cspanwj"
"Conservathink","IMAO_"
"NickALeonard","Bakalopoulos"
"janleide","blogdiva"
"renevrivero","EdgeofAnarchy38"
"skinnydude06","rolandsmartin"
"rumandmonkey","NeerajKA"
"","DanBigras"
"JewishPaper","JonHuntsman"
"_la_sola_","MichaelSkolnik"
"PoliticsIn01245","RonPaul"
"TheDarklady","ninatypewriter"
"adampopescu","notjessewalker"
"LMElephantBlog","RonPaul"
"Dbargen","BruceChalupa"
"TexanIndiana","wolfblitzercnn"
"ahmad_akar","CNN"
"TimeforLifeVA","jimspellmancnn"
"dwilliams459","RonPaul"
"TheNYCExpert","ReformedBroker"
"fakastler","Jon2012HQ"
"NSlayton","cityofthetown"
"BYUPolitics","PubliusDB"
"jaiiime","TheFix"
"DavidM755","TeaPartyMD"
"America4ward","CNN"
"HalloweenBlogs","LOLGOP"
"LMcCormick23","piersmorgan"
"","lizadonnelly"
"VaBeachHomeBiz","piersmorgan"
"IAmSoSmart","davidbadash"
"WarrenLevine","Jon2012HQ"
"Jordan_Sandler","EWErickson"
"jamescollinsjr","JonHuntsman"
"toyrabbit","theboanderson"
"stoneWGOW","bradstinks"
"NotBodhisattva","BlackSheepRpt"
"yembur","RonPaul"
"BLASTA_Exploder","THEHermanCain"
"Larry_Mize","johnleho"
"Marguer_d","goldberg3000"
"IAmSoSmart","davidbadash"
"Conservathink","NotBodhisattva"
"DavidSTurner4","csgraham"
"Dogger55","JohnFugelsang"
"Ella_6","OneLegSandpiper"
"MollyJolene","MattBruenig"
"DavidMDrucker","RonPaul"
"EleanorWhitel","AridHumerus"
"SarahGradyYNN","RonPaul"
"BernieSlaughter","RepRonPaul"
"TPPatriots","ronpaul"
"AKr3volution","postpolitics"
"jen_hairwhisper","cnndebate"
"ryan_printy","ronpaul"
"adampopescu","roeberg"
"MPhippsEvans","TheMadameMeow"
"America4ward","CNN"
"diggaduh","MittRomney"
"skunkwkrz","DickMorrisTweet"
"Jerseyshore00","MiamiAsh"
"wayward_okie","irishspy"
"Cancer_Champion","JoyVBehar"
"nicholasvollaro","JoyVBehar"
"VAMannyFresh","Eklayre"
"profg","RonPaul"
"capocard33","JonHuntsman"
"Kara_Sandoval","rini6"
"CharlesSimmins","seanhackbarth"
"ktmar20","JoyVBehar"
"tommy4usa","JohnCornyn"
"donna816","cspanwj"
"dwilliams459","RonPaul"
"JustinnitsuL",""
"Paulitifact","RonPaul"
"herekittykittee","CraigdaKING"
"smithshawn","j_ling"
"morrisra","MittRomney"
"WantNews","kthalps"
"addiestan","speechboy71"
"tonybalogna","andresdavid"
"BeverlyWatt","JoyVBehar"
"theshex","Angelete71"
"guyramsey","Pat_Mc_Mahon"
"DebbiAlmontaser","shabadel"
"fishinsam","cspanwj"
"TheRealKeori","HunterDK"
"stevenlwalker","mittromney"
"besbev","AntDeRosa"
"iNotQuiet","CNNPolitics"
"baxter_ryan","ronpaul"
"Dbargen","BLACKDRAGONFLY5"
"Plots4","JoyVBehar"
"dbeberman","USATOpinion"
"arizonascge","politico"
"SoonerCubby","rumpfshaker"
"Zaloomination","MittRomney"
"iteachoneofu","aishatyler"
"DavidMDrucker","MittRomney"
"WmTThompson","MittRomney"
"_zomg","Ron"
"StormStalwart","PoliticalTicker"
"GOPMatt","azkenreid"
"TheRealFakeTim","chucktodd"
"IAmSoSmart","therealsuzn"
"altondrew","MittRomney"
"jasobrian","toddstarnes"
"NewCentrist","MittRomney"
